Unnamed: 0,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,ID
4,0,male,37.0,10.0,no,3,18,7,4,1
5,0,female,27.0,4.0,no,4,14,6,4,2
11,0,female,32.0,15.0,yes,1,12,1,4,3
16,0,male,57.0,15.0,yes,5,18,6,5,4
23,0,male,22.0,0.75,no,2,17,6,3,5
29,0,female,32.0,1.5,no,2,17,5,5,6
44,0,female,22.0,0.75,no,2,12,1,3,7
45,0,male,57.0,15.0,yes,2,14,4,4,8
47,0,female,32.0,15.0,yes,4,16,1,2,9
49,0,male,22.0,1.5,no,4,14,4,5,10
50,0,male,37.0,15.0,yes,2,20,7,2,11
55,0,male,27.0,4.0,yes,4,18,6,4,12
64,0,male,47.0,15.0,yes,5,17,6,4,13
80,0,female,22.0,1.5,no,2,17,5,4,14
86,0,female,27.0,4.0,no,4,14,5,4,15
93,0,female,37.0,15.0,yes,1,17,5,5,16
108,0,female,37.0,15.0,yes,2,18,4,3,17
114,0,female,22.0,0.75,no,3,16,5,4,18
115,0,female,22.0,1.5,no,2,16,5,5,19
116,0,female,27.0,10.0,yes,2,14,1,5,20
123,0,female,22.0,1.5,no,2,16,5,5,21
127,0,female,22.0,1.5,no,2,16,5,5,22
129,0,female,27.0,10.0,yes,4,16,5,4,23
134,0,female,32.0,10.0,yes,3,14,1,5,24
137,0,male,37.0,4.0,yes,2,20,6,4,25
139,0,female,22.0,1.5,no,2,18,5,5,26
147,0,female,27.0,7.0,no,4,16,1,5,27
151,0,male,42.0,15.0,yes,5,20,6,4,28
153,0,male,27.0,4.0,yes,3,16,5,5,29
155,0,female,27.0,4.0,yes,3,17,5,4,30
162,0,male,42.0,15.0,yes,4,20,6,3,31
163,0,female,22.0,1.5,no,3,16,5,5,32
165,0,male,27.0,0.417,no,4,17,6,4,33
168,0,female,42.0,15.0,yes,5,14,5,4,34
170,0,male,32.0,4.0,yes,1,18,6,4,35
172,0,female,22.0,1.5,no,4,16,5,3,36
184,0,female,42.0,15.0,yes,3,12,1,4,37
187,0,female,22.0,4.0,no,4,17,5,5,38
192,0,male,22.0,1.5,yes,1,14,3,5,39
194,0,female,22.0,0.75,no,3,16,1,5,40
210,0,male,32.0,10.0,yes,5,20,6,5,41
217,0,male,52.0,15.0,yes,5,18,6,3,42
220,0,female,22.0,0.417,no,5,14,1,4,43
224,0,female,27.0,4.0,yes,2,18,6,1,44
227,0,female,32.0,7.0,yes,5,17,5,3,45
228,0,male,22.0,4.0,no,3,16,5,5,46
239,0,female,27.0,7.0,yes,4,18,6,5,47
241,0,female,42.0,15.0,yes,2,18,5,4,48
245,0,male,27.0,1.5,yes,4,16,3,5,49
249,0,male,42.0,15.0,yes,2,20,6,4,50
262,0,female,22.0,0.75,no,5,14,3,5,51
265,0,male,32.0,7.0,yes,2,20,6,4,52
267,0,male,27.0,4.0,yes,5,20,6,5,53
269,0,male,27.0,10.0,yes,4,20,6,4,54
271,0,male,22.0,4.0,no,1,18,5,5,55
277,0,female,37.0,15.0,yes,4,14,3,1,56
290,0,male,22.0,1.5,yes,5,16,4,4,57
292,0,female,37.0,15.0,yes,4,17,1,5,58
293,0,female,27.0,0.75,no,4,17,5,4,59
295,0,male,32.0,10.0,yes,4,20,6,4,60
299,0,female,47.0,15.0,yes,5,14,7,2,61
320,0,male,37.0,10.0,yes,3,20,6,4,62
321,0,female,22.0,0.75,no,2,16,5,5,63
324,0,male,27.0,4.0,no,2,18,4,5,64
334,0,male,32.0,7.0,no,4,20,6,4,65
351,0,male,42.0,15.0,yes,2,17,3,5,66
355,0,male,37.0,10.0,yes,4,20,6,4,67
361,0,female,47.0,15.0,yes,3,17,6,5,68
362,0,female,22.0,1.5,no,5,16,5,5,69
366,0,female,27.0,1.5,no,2,16,6,4,70
370,0,female,27.0,4.0,no,3,17,5,5,71
374,0,female,32.0,10.0,yes,5,14,4,5,72
378,0,female,22.0,0.125,no,2,12,5,5,73
381,0,male,47.0,15.0,yes,4,14,4,3,74
382,0,male,32.0,15.0,yes,1,14,5,5,75
383,0,male,27.0,7.0,yes,4,16,5,5,76
384,0,female,22.0,1.5,yes,3,16,5,5,77
400,0,male,27.0,4.0,yes,3,17,6,5,78
403,0,female,22.0,1.5,no,3,16,5,5,79
409,0,male,57.0,15.0,yes,2,14,7,2,80
412,0,male,17.5,1.5,yes,3,18,6,5,81
413,0,male,57.0,15.0,yes,4,20,6,5,82
416,0,female,22.0,0.75,no,2,16,3,4,83
418,0,male,42.0,4.0,no,4,17,3,3,84
422,0,female,22.0,1.5,yes,4,12,1,5,85
435,0,female,22.0,0.417,no,1,17,6,4,86
439,0,female,32.0,15.0,yes,4,17,5,5,87
445,0,female,27.0,1.5,no,3,18,5,2,88
447,0,female,22.0,1.5,yes,3,14,1,5,89
448,0,female,37.0,15.0,yes,3,14,1,4,90
449,0,female,32.0,15.0,yes,4,14,3,4,91
478,0,male,37.0,10.0,yes,2,14,5,3,92
482,0,male,37.0,10.0,yes,4,16,5,4,93
486,0,male,57.0,15.0,yes,5,20,5,3,94
489,0,male,27.0,0.417,no,1,16,3,4,95
490,0,female,42.0,15.0,yes,5,14,1,5,96
491,0,male,57.0,15.0,yes,3,16,6,1,97
492,0,male,37.0,10.0,yes,1,16,6,4,98
503,0,male,37.0,15.0,yes,3,17,5,5,99
508,0,male,37.0,15.0,yes,4,20,6,5,100
509,0,female,27.0,10.0,yes,5,14,1,5,101
512,0,male,37.0,10.0,yes,2,18,6,4,102
515,0,female,22.0,0.125,no,4,12,4,5,103
517,0,male,57.0,15.0,yes,5,20,6,5,104
532,0,female,37.0,15.0,yes,4,18,6,4,105
533,0,male,22.0,4.0,yes,4,14,6,4,106
535,0,male,27.0,7.0,yes,4,18,5,4,107
537,0,male,57.0,15.0,yes,4,20,5,4,108
538,0,male,32.0,15.0,yes,3,14,6,3,109
543,0,female,22.0,1.5,no,2,14,5,4,110
547,0,female,32.0,7.0,yes,4,17,1,5,111
550,0,female,37.0,15.0,yes,4,17,6,5,112
558,0,female,32.0,1.5,no,5,18,5,5,113
571,0,male,42.0,10.0,yes,5,20,7,4,114
578,0,female,27.0,7.0,no,3,16,5,4,115
583,0,male,37.0,15.0,no,4,20,6,5,116
586,0,male,37.0,15.0,yes,4,14,3,2,117
594,0,male,32.0,10.0,no,5,18,6,4,118
597,0,female,22.0,0.75,no,4,16,1,5,119
602,0,female,27.0,7.0,yes,4,12,2,4,120
603,0,female,27.0,7.0,yes,2,16,2,5,121
604,0,female,42.0,15.0,yes,5,18,5,4,122
612,0,male,42.0,15.0,yes,4,17,5,3,123
613,0,female,27.0,7.0,yes,2,16,1,2,124
621,0,female,22.0,1.5,no,3,16,5,5,125
627,0,male,37.0,15.0,yes,5,20,6,5,126
630,0,female,22.0,0.125,no,2,14,4,5,127
631,0,male,27.0,1.5,no,4,16,5,5,128
632,0,male,32.0,1.5,no,2,18,6,5,129
639,0,male,27.0,1.5,no,2,17,6,5,130
645,0,female,27.0,10.0,yes,4,16,1,3,131
647,0,male,42.0,15.0,yes,4,18,6,5,132
648,0,female,27.0,1.5,no,2,16,6,5,133
651,0,male,27.0,4.0,no,2,18,6,3,134
655,0,female,32.0,10.0,yes,3,14,5,3,135
667,0,female,32.0,15.0,yes,3,18,5,4,136
670,0,female,22.0,0.75,no,2,18,6,5,137
671,0,female,37.0,15.0,yes,2,16,1,4,138
673,0,male,27.0,4.0,yes,4,20,5,5,139
701,0,male,27.0,4.0,no,1,20,5,4,140
705,0,female,27.0,10.0,yes,2,12,1,4,141
706,0,female,32.0,15.0,yes,5,18,6,4,142
709,0,male,27.0,7.0,yes,5,12,5,3,143
717,0,male,52.0,15.0,yes,2,18,5,4,144
719,0,male,27.0,4.0,no,3,20,6,3,145
723,0,male,37.0,4.0,yes,1,18,5,4,146
724,0,male,27.0,4.0,yes,4,14,5,4,147
726,0,female,52.0,15.0,yes,5,12,1,3,148
734,0,female,57.0,15.0,yes,4,16,6,4,149
735,0,male,27.0,7.0,yes,1,16,5,4,150
736,0,male,37.0,7.0,yes,4,20,6,3,151
737,0,male,22.0,0.75,no,2,14,4,3,152
739,0,male,32.0,4.0,yes,2,18,5,3,153
743,0,male,37.0,15.0,yes,4,20,6,3,154
745,0,male,22.0,0.75,yes,2,14,4,3,155
747,0,male,42.0,15.0,yes,4,20,6,3,156
751,0,female,52.0,15.0,yes,5,17,1,1,157
752,0,female,37.0,15.0,yes,4,14,1,2,158
754,0,male,27.0,7.0,yes,4,14,5,3,159
760,0,male,32.0,4.0,yes,2,16,5,5,160
763,0,female,27.0,4.0,yes,2,18,6,5,161
774,0,female,27.0,4.0,yes,2,18,5,5,162
776,0,male,37.0,15.0,yes,5,18,6,5,163
779,0,female,47.0,15.0,yes,5,12,5,4,164
784,0,female,32.0,10.0,yes,3,17,1,4,165
788,0,female,27.0,1.5,yes,4,17,1,2,166
794,0,female,57.0,15.0,yes,2,18,5,2,167
795,0,female,22.0,1.5,no,4,14,5,4,168
798,0,male,42.0,15.0,yes,3,14,3,4,169
800,0,male,57.0,15.0,yes,4,9,2,2,170
803,0,male,57.0,15.0,yes,4,20,6,5,171
807,0,female,22.0,0.125,no,4,14,4,5,172
812,0,female,32.0,10.0,yes,4,14,1,5,173
820,0,female,42.0,15.0,yes,3,18,5,4,174
823,0,female,27.0,1.5,no,2,18,6,5,175
830,0,male,32.0,0.125,yes,2,18,5,2,176
843,0,female,27.0,4.0,no,3,16,5,4,177
848,0,female,27.0,10.0,yes,2,16,1,4,178
851,0,female,32.0,7.0,yes,4,16,1,3,179
854,0,female,37.0,15.0,yes,4,14,5,4,180
856,0,female,42.0,15.0,yes,5,17,6,2,181
857,0,male,32.0,1.5,yes,4,14,6,5,182
859,0,female,32.0,4.0,yes,3,17,5,3,183
863,0,female,37.0,7.0,no,4,18,5,5,184
865,0,female,22.0,0.417,yes,3,14,3,5,185
867,0,female,27.0,7.0,yes,4,14,1,5,186
870,0,male,27.0,0.75,no,3,16,5,5,187
873,0,male,27.0,4.0,yes,2,20,5,5,188
875,0,male,32.0,10.0,yes,4,16,4,5,189
876,0,male,32.0,15.0,yes,1,14,5,5,190
877,0,male,22.0,0.75,no,3,17,4,5,191
880,0,female,27.0,7.0,yes,4,17,1,4,192
903,0,male,27.0,0.417,yes,4,20,5,4,193
904,0,male,37.0,15.0,yes,4,20,5,4,194
905,0,female,37.0,15.0,yes,2,14,1,3,195
908,0,male,22.0,4.0,yes,1,18,5,4,196
909,0,male,37.0,15.0,yes,4,17,5,3,197
910,0,female,22.0,1.5,no,2,14,4,5,198
912,0,male,52.0,15.0,yes,4,14,6,2,199
914,0,female,22.0,1.5,no,4,17,5,5,200
915,0,male,32.0,4.0,yes,5,14,3,5,201
916,0,male,32.0,4.0,yes,2,14,3,5,202
920,0,female,22.0,1.5,no,3,16,6,5,203
921,0,male,27.0,0.75,no,2,18,3,3,204
925,0,female,22.0,7.0,yes,2,14,5,2,205
926,0,female,27.0,0.75,no,2,17,5,3,206
929,0,female,37.0,15.0,yes,4,12,1,2,207
931,0,female,22.0,1.5,no,1,14,1,5,208
945,0,female,37.0,10.0,no,2,12,4,4,209
947,0,female,37.0,15.0,yes,4,18,5,3,210
949,0,female,42.0,15.0,yes,3,12,3,3,211
950,0,male,22.0,4.0,no,2,18,5,5,212
961,0,male,52.0,7.0,yes,2,20,6,2,213
965,0,male,27.0,0.75,no,2,17,5,5,214
966,0,female,27.0,4.0,no,2,17,4,5,215
967,0,male,42.0,1.5,no,5,20,6,5,216
987,0,male,22.0,1.5,no,4,17,6,5,217
990,0,male,22.0,4.0,no,4,17,5,3,218
992,0,female,22.0,4.0,yes,1,14,5,4,219
995,0,male,37.0,15.0,yes,5,20,4,5,220
1009,0,female,37.0,10.0,yes,3,16,6,3,221
1021,0,male,42.0,15.0,yes,4,17,6,5,222
1026,0,female,47.0,15.0,yes,4,17,5,5,223
1027,0,male,22.0,1.5,no,4,16,5,4,224
1030,0,female,32.0,10.0,yes,3,12,1,4,225
1031,0,female,22.0,7.0,yes,1,14,3,5,226
1034,0,female,32.0,10.0,yes,4,17,5,4,227
1037,0,male,27.0,1.5,yes,2,16,2,4,228
1038,0,male,37.0,15.0,yes,4,14,5,5,229
1039,0,male,42.0,4.0,yes,3,14,4,5,230
1045,0,female,37.0,15.0,yes,5,14,5,4,231
1046,0,female,32.0,7.0,yes,4,17,5,5,232
1054,0,female,42.0,15.0,yes,4,18,6,5,233
1059,0,male,27.0,4.0,no,4,18,6,4,234
1063,0,male,22.0,0.75,no,4,18,6,5,235
1068,0,male,27.0,4.0,yes,4,14,5,3,236
1070,0,female,22.0,0.75,no,5,18,1,5,237
1072,0,female,52.0,15.0,yes,5,9,5,5,238
1073,0,male,32.0,10.0,yes,3,14,5,5,239
1077,0,female,37.0,15.0,yes,4,16,4,4,240
1081,0,male,32.0,7.0,yes,2,20,5,4,241
1083,0,female,42.0,15.0,yes,3,18,1,4,242
1084,0,male,32.0,15.0,yes,1,16,5,5,243
1086,0,male,27.0,4.0,yes,3,18,5,5,244
1087,0,female,32.0,15.0,yes,4,12,3,4,245
1089,0,male,22.0,0.75,yes,3,14,2,4,246
1096,0,female,22.0,1.5,no,3,16,5,3,247
1102,0,female,42.0,15.0,yes,4,14,3,5,248
1103,0,female,52.0,15.0,yes,3,16,5,4,249
1107,0,male,37.0,15.0,yes,5,20,6,4,250
1109,0,female,47.0,15.0,yes,4,12,2,3,251
1115,0,male,57.0,15.0,yes,2,20,6,4,252
1119,0,male,32.0,7.0,yes,4,17,5,5,253
1124,0,female,27.0,7.0,yes,4,17,1,4,254
1126,0,male,22.0,1.5,no,1,18,6,5,255
1128,0,female,22.0,4.0,yes,3,9,1,4,256
1129,0,female,22.0,1.5,no,2,14,1,5,257
1130,0,male,42.0,15.0,yes,2,20,6,4,258
1133,0,male,57.0,15.0,yes,4,9,2,4,259
1140,0,female,27.0,7.0,yes,2,18,1,5,260
1143,0,female,22.0,4.0,yes,3,14,1,5,261
1146,0,male,37.0,15.0,yes,4,14,5,3,262
1153,0,male,32.0,7.0,yes,1,18,6,4,263
1156,0,female,22.0,1.5,no,2,14,5,5,264
1157,0,female,22.0,1.5,yes,3,12,1,3,265
1158,0,male,52.0,15.0,yes,2,14,5,5,266
1160,0,female,37.0,15.0,yes,2,14,1,1,267
1161,0,female,32.0,10.0,yes,2,14,5,5,268
1166,0,male,42.0,15.0,yes,4,20,4,5,269
1177,0,female,27.0,4.0,yes,3,18,4,5,270
1178,0,male,37.0,15.0,yes,4,20,6,5,271
1180,0,male,27.0,1.5,no,3,18,5,5,272
1187,0,female,22.0,0.125,no,2,16,6,3,273
1191,0,male,32.0,10.0,yes,2,20,6,3,274
1195,0,female,27.0,4.0,no,4,18,5,4,275
1207,0,female,27.0,7.0,yes,2,12,5,1,276
1208,0,male,32.0,4.0,yes,5,18,6,3,277
1209,0,female,37.0,15.0,yes,2,17,5,5,278
1211,0,male,47.0,15.0,no,4,20,6,4,279
1215,0,male,27.0,1.5,no,1,18,5,5,280
1221,0,male,37.0,15.0,yes,4,20,6,4,281
1226,0,female,32.0,15.0,yes,4,18,1,4,282
1229,0,female,32.0,7.0,yes,4,17,5,4,283
1231,0,female,42.0,15.0,yes,3,14,1,3,284
1234,0,female,27.0,7.0,yes,3,16,1,4,285
1235,0,male,27.0,1.5,no,3,16,4,2,286
1242,0,male,22.0,1.5,no,3,16,3,5,287
1245,0,male,27.0,4.0,yes,3,16,4,2,288
1260,0,female,27.0,7.0,yes,3,12,1,2,289
1266,0,female,37.0,15.0,yes,2,18,5,4,290
1271,0,female,37.0,7.0,yes,3,14,4,4,291
1273,0,male,22.0,1.5,no,2,16,5,5,292
1276,0,male,37.0,15.0,yes,5,20,5,4,293
1280,0,female,22.0,1.5,no,4,16,5,3,294
1282,0,female,32.0,10.0,yes,4,16,1,5,295
1285,0,male,27.0,4.0,no,2,17,5,3,296
1295,0,female,22.0,0.417,no,4,14,5,5,297
1298,0,female,27.0,4.0,no,2,18,5,5,298
1299,0,male,37.0,15.0,yes,4,18,5,3,299
1304,0,male,37.0,10.0,yes,5,20,7,4,300
1305,0,female,27.0,7.0,yes,2,14,4,2,301
1311,0,male,32.0,4.0,yes,2,16,5,5,302
1314,0,male,32.0,4.0,yes,2,16,6,4,303
